,Model Name,Position,Mean Square Error,Mean Absolute Error,R2 Score
10,Lasso,1B,41330.52993146282,41330.52993146282,-11.253476010870816
8,LinearRegression,1B,38940.70407885221,38940.70407885221,-10.544951977821077
11,BayesianRidge,1B,36709.58771942004,36709.58771942004,-9.883481369215307
13,RandomForestRegressor,1B,36266.05054634147,36266.05054634147,-9.751983609102863
14,KNeighborsRegressor,1B,35038.557073170734,35038.557073170734,-9.388062269310216
9,Ridge,1B,34723.812943473094,34723.812943473094,-9.294748449013019
12,ElasticNet,1B,30037.76966269209,30037.76966269209,-7.9054529567420335
15,MLPRegressor,1B,29884.69338932955,29884.69338932955,-7.860069642117423
16,LinearRegression,2B,455154.8213711622,455154.8213711622,-247.81757853746413
21,RandomForestRegressor,2B,25774.53856170213,25774.53856170213,-13.090058968338425
17,Ridge,2B,24107.28197280546,24107.28197280546,-12.178626796752985
18,Lasso,2B,23513.125681486606,23513.125681486606,-11.853821867227252
19,BayesianRidge,2B,21031.185949865696,21031.185949865696,-10.49703027653849
23,MLPRegressor,2B,20651.87492879527,20651.87492879527,-10.289673910432125
22,KNeighborsRegressor,2B,19199.267234042552,19199.267234042552,-9.495582950164074
20,ElasticNet,2B,18335.471058572188,18335.471058572188,-9.023375115293767
24,LinearRegression,3B,774531.8214081577,774531.8214081577,-261.8031154169243
26,Lasso,3B,34518.0151333959,34518.0151333959,-10.712161675387865
25,Ridge,3B,34442.37680202481,34442.37680202481,-10.68649715318254
27,BayesianRidge,3B,32690.479312302927,32690.479312302927,-10.092068227908753
31,MLPRegressor,3B,31762.153816625778,31762.153816625778,-9.77708203154904
29,RandomForestRegressor,3B,31620.381188636366,31620.381188636366,-9.728977760960488
30,KNeighborsRegressor,3B,30460.960909090903,30460.960909090903,-9.335579771206959
28,ElasticNet,3B,27480.150633918773,27480.150633918773,-8.324173648011406
0,LinearRegression,C,1551447857.740834,1551447857.740834,-904168.8327352906
3,BayesianRidge,C,16047.965091778948,16047.965091778948,-8.352609461142093
5,RandomForestRegressor,C,14995.363658536586,14995.363658536586,-7.739162829930425
2,Lasso,C,13371.228519905637,13371.228519905637,-6.792631504814655
1,Ridge,C,12120.704278345785,12120.704278345785,-6.063837244226959
7,MLPRegressor,C,10054.233146820932,10054.233146820932,-4.859516487960039
6,KNeighborsRegressor,C,7205.956097560976,7205.956097560976,-3.1995662870146813
4,ElasticNet,C,7112.621916944366,7112.621916944366,-3.1451719675049734
54,KNeighborsRegressor,DH,68680.352,68680.352,-31.284311070998797
48,LinearRegression,DH,44262.865214635705,44262.865214635705,-19.806476202728128
55,MLPRegressor,DH,43213.538179863404,43213.538179863404,-19.313223046340724
53,RandomForestRegressor,DH,43055.03483999999,43055.03483999999,-19.23871598601083
52,ElasticNet,DH,40706.556554611765,40706.556554611765,-18.13477575709413
49,Ridge,DH,39725.757186983,39725.757186983,-17.673735139789695
51,BayesianRidge,DH,39109.90594200177,39109.90594200177,-17.384244294337474
50,Lasso,DH,26272.64764110554,26272.64764110554,-11.349883254881894
40,LinearRegression,OF,23115.244488811277,23115.244488811277,-8.729970803280256
41,Ridge,OF,18807.86502191182,18807.86502191182,-6.916852344945669
43,BayesianRidge,OF,18619.13687443399,18619.13687443399,-6.837410426621798
45,RandomForestRegressor,OF,18402.701664705888,18402.701664705888,-6.746305689552043
42,Lasso,OF,17723.059774851274,17723.059774851274,-6.460221943036943
47,MLPRegressor,OF,17008.161265279254,17008.161265279254,-6.159297519381753
46,KNeighborsRegressor,OF,16485.533109243697,16485.533109243697,-5.939306045717714
44,ElasticNet,OF,16250.893265532695,16250.893265532695,-5.840538376195578
34,Lasso,SS,34169.761197971435,34169.761197971435,-10.938646151380377
38,KNeighborsRegressor,SS,33296.52421052632,33296.52421052632,-10.633544007440795
32,LinearRegression,SS,33042.51527629441,33042.51527629441,-10.54479528111771
37,RandomForestRegressor,SS,31384.610681578946,31384.610681578946,-9.965536438939123
35,BayesianRidge,SS,30120.17382224814,30120.17382224814,-9.52375213272602
33,Ridge,SS,30075.503251860464,30075.503251860464,-9.508144586329985
39,MLPRegressor,SS,29588.926243199483,29588.926243199483,-9.338138401676126
36,ElasticNet,SS,26393.466243098836,26393.466243098836,-8.2216697787009
