,Model Name,Position,Mean Square Error,Mean Absolute Error,R2 Score
8,LinearRegression,1B,48509.928183622804,48509.928183622804,-13.381989349587073
10,Lasso,1B,41330.43764273964,41330.43764273964,-11.253448649555645
11,BayesianRidge,1B,37142.12142440259,37142.12142440259,-10.011716874220586
14,KNeighborsRegressor,1B,36831.00975609756,36831.00975609756,-9.919479988543113
13,RandomForestRegressor,1B,36422.68899512195,36422.68899512195,-9.7984230203007
9,Ridge,1B,34662.97985095843,34662.97985095843,-9.2767129473867
15,MLPRegressor,1B,30151.16494200727,30151.16494200727,-7.93907184179235
12,ElasticNet,1B,29925.663512865864,29925.663512865864,-7.872216266579949
16,LinearRegression,2B,499078.7630569683,499078.7630569683,-271.8292956432153
21,RandomForestRegressor,2B,25536.234006382976,25536.234006382976,-12.959786015872858
17,Ridge,2B,24036.85979171509,24036.85979171509,-12.140129398172329
18,Lasso,2B,23513.159067423534,23513.159067423534,-11.853840118177464
19,BayesianRidge,2B,21071.910974078055,21071.910974078055,-10.519293254836453
23,MLPRegressor,2B,20544.173883868323,20544.173883868323,-10.230797431602463
22,KNeighborsRegressor,2B,19281.379574468083,19281.379574468083,-9.540470959152259
20,ElasticNet,2B,18386.259392329284,18386.259392329284,-9.05113936084284
24,LinearRegression,3B,742482.4591682089,742482.4591682089,-250.92858191038476
26,Lasso,3B,34518.01753759052,34518.01753759052,-10.712162491144966
25,Ridge,3B,34367.49012178678,34367.49012178678,-10.661087670543072
27,BayesianRidge,3B,32471.870840758933,32471.870840758933,-10.017893112322353
29,RandomForestRegressor,3B,31875.163086363635,31875.163086363635,-9.815426728741862
31,MLPRegressor,3B,30922.95667179527,30922.95667179527,-9.492337598829051
30,KNeighborsRegressor,3B,30764.46636363636,30764.46636363636,-9.438560922911691
28,ElasticNet,3B,27513.242237535425,27513.242237535425,-8.33540182002994
0,LinearRegression,C,497702.8599902333,497702.8599902333,-289.05674243189287
3,BayesianRidge,C,16072.204133002568,16072.204133002568,-8.366735755970161
5,RandomForestRegressor,C,14903.258236585367,14903.258236585367,-7.685484619899624
2,Lasso,C,13371.228519905637,13371.228519905637,-6.792631504814655
1,Ridge,C,12109.524595139179,12109.524595139179,-6.057321825584613
7,MLPRegressor,C,9549.890478092935,9549.890478092935,-4.565590124821356
6,KNeighborsRegressor,C,7210.04,7210.04,-3.2019463485596287
4,ElasticNet,C,7087.769883377161,7087.769883377161,-3.130688426262207
54,KNeighborsRegressor,DH,68680.352,68680.352,-31.284311070998797
55,MLPRegressor,DH,43667.0590854454,43667.0590854454,-19.526407888390022
53,RandomForestRegressor,DH,42174.495160000006,42174.495160000006,-18.824804057611313
52,ElasticNet,DH,40250.790620068234,40250.790620068234,-17.92053560284495
49,Ridge,DH,39198.573361073715,39198.573361073715,-17.425923849782695
51,BayesianRidge,DH,38548.455547705395,38548.455547705395,-17.12032544924479
48,LinearRegression,DH,38548.455547420854,38548.455547420854,-17.12032544911104
50,Lasso,DH,26151.313452239403,26151.313452239403,-11.292848155572825
40,LinearRegression,OF,20985.780857926915,20985.780857926915,-7.833609141815627
41,Ridge,OF,19106.111329650426,19106.111329650426,-7.042394078578962
43,BayesianRidge,OF,18871.27634259943,18871.27634259943,-6.943544266771826
45,RandomForestRegressor,OF,18316.200649579838,18316.200649579838,-6.7098945517837185
42,Lasso,OF,17723.084249224114,17723.084249224114,-6.460232245109815
46,KNeighborsRegressor,OF,16596.758319327728,16596.758319327728,-5.9861244147481685
47,MLPRegressor,OF,16368.880770614396,16368.880770614396,-5.890203218812861
44,ElasticNet,OF,16028.061892346112,16028.061892346112,-5.74674128241144
32,LinearRegression,SS,36189.07717923223,36189.07717923223,-11.644179293049838
34,Lasso,SS,34169.74430050722,34169.74430050722,-10.938640247539112
38,KNeighborsRegressor,SS,33215.37894736842,33215.37894736842,-10.605192489907793
37,RandomForestRegressor,SS,30239.546276315796,30239.546276315796,-9.565459930479674
33,Ridge,SS,30088.312540390645,30088.312540390645,-9.512620051122576
35,BayesianRidge,SS,30021.052772158102,30021.052772158102,-9.489120016442795
39,MLPRegressor,SS,28706.183950839877,28706.183950839877,-9.029715178865738
36,ElasticNet,SS,26430.725367314855,26430.725367314855,-8.234687824023142
