,Model Name,Position,Mean Square Error,Mean Absolute Error,R2 Score
8,LinearRegression,1B,48509.928183622804,48509.928183622804,-13.381989349587073
10,Lasso,1B,41330.43764273964,41330.43764273964,-11.253448649555645
11,BayesianRidge,1B,37142.12142440259,37142.12142440259,-10.011716874220586
14,KNeighborsRegressor,1B,36831.00975609756,36831.00975609756,-9.919479988543113
13,RandomForestRegressor,1B,35330.72157804878,35330.72157804878,-9.474681791433154
9,Ridge,1B,34662.97985095843,34662.97985095843,-9.2767129473867
12,ElasticNet,1B,29925.663512865864,29925.663512865864,-7.872216266579949
15,MLPRegressor,1B,29154.121579794333,29154.121579794333,-7.6434732385096495
16,LinearRegression,2B,499078.7630569683,499078.7630569683,-271.8292956432153
21,RandomForestRegressor,2B,26245.453585106385,26245.453585106385,-13.347492110466586
17,Ridge,2B,24036.85979171509,24036.85979171509,-12.140129398172329
18,Lasso,2B,23513.159067423534,23513.159067423534,-11.853840118177464
19,BayesianRidge,2B,21071.910974078055,21071.910974078055,-10.519293254836453
23,MLPRegressor,2B,20612.555888881772,20612.555888881772,-10.268179535678009
22,KNeighborsRegressor,2B,19281.379574468083,19281.379574468083,-9.540470959152259
20,ElasticNet,2B,18386.259392329284,18386.259392329284,-9.05113936084284
24,LinearRegression,3B,742482.4591682089,742482.4591682089,-250.92858191038476
26,Lasso,3B,34518.01753759052,34518.01753759052,-10.712162491144966
25,Ridge,3B,34367.49012178678,34367.49012178678,-10.661087670543072
27,BayesianRidge,3B,32471.870840758933,32471.870840758933,-10.017893112322353
31,MLPRegressor,3B,32136.968407107765,32136.968407107765,-9.904258784472246
29,RandomForestRegressor,3B,30909.48677727272,30909.48677727272,-9.48776718590731
30,KNeighborsRegressor,3B,30764.46636363636,30764.46636363636,-9.438560922911691
28,ElasticNet,3B,27513.242237535425,27513.242237535425,-8.33540182002994
0,LinearRegression,C,497702.8599902333,497702.8599902333,-289.05674243189287
3,BayesianRidge,C,16072.204133002568,16072.204133002568,-8.366735755970161
5,RandomForestRegressor,C,14551.958404878049,14551.958404878049,-7.480750243239832
2,Lasso,C,13371.228519905637,13371.228519905637,-6.792631504814655
1,Ridge,C,12109.524595139179,12109.524595139179,-6.057321825584613
7,MLPRegressor,C,10808.93143646594,10808.93143646594,-5.299347851230983
6,KNeighborsRegressor,C,7210.04,7210.04,-3.2019463485596287
4,ElasticNet,C,7087.769883377161,7087.769883377161,-3.130688426262207
54,KNeighborsRegressor,DH,68680.352,68680.352,-31.284311070998797
55,MLPRegressor,DH,43247.80423672972,43247.80423672972,-19.329330360977792
52,ElasticNet,DH,40250.790620068234,40250.790620068234,-17.92053560284495
49,Ridge,DH,39198.573361073715,39198.573361073715,-17.425923849782695
53,RandomForestRegressor,DH,38807.02938,38807.02938,-17.241872264214802
51,BayesianRidge,DH,38548.455547705395,38548.455547705395,-17.12032544924479
48,LinearRegression,DH,38548.455547420854,38548.455547420854,-17.12032544911104
50,Lasso,DH,26151.313452239403,26151.313452239403,-11.292848155572825
40,LinearRegression,OF,20985.780857926915,20985.780857926915,-7.833609141815627
41,Ridge,OF,19106.111329650426,19106.111329650426,-7.042394078578962
43,BayesianRidge,OF,18871.27634259943,18871.27634259943,-6.943544266771826
45,RandomForestRegressor,OF,18615.79335210084,18615.79335210084,-6.836003027504846
42,Lasso,OF,17723.084249224114,17723.084249224114,-6.460232245109815
47,MLPRegressor,OF,16744.120048500878,16744.120048500878,-6.048153839661657
46,KNeighborsRegressor,OF,16596.758319327728,16596.758319327728,-5.9861244147481685
44,ElasticNet,OF,16028.061892346112,16028.061892346112,-5.74674128241144
32,LinearRegression,SS,36189.07717923223,36189.07717923223,-11.644179293049838
34,Lasso,SS,34169.74430050722,34169.74430050722,-10.938640247539112
38,KNeighborsRegressor,SS,33215.37894736842,33215.37894736842,-10.605192489907793
33,Ridge,SS,30088.312540390645,30088.312540390645,-9.512620051122576
35,BayesianRidge,SS,30021.052772158102,30021.052772158102,-9.489120016442795
37,RandomForestRegressor,SS,29621.52427368422,29621.52427368422,-9.349527897462602
39,MLPRegressor,SS,29017.903004807536,29017.903004807536,-9.138627367698474
36,ElasticNet,SS,26430.725367314855,26430.725367314855,-8.234687824023142
