,Model Name,Position,Mean Square Error,Mean Absolute Error,R2 Score
11,BayesianRidge,1B,40546.42186163433,40546.42186163433,-11.02100743523178
10,Lasso,1B,39194.57201167664,39194.57201167664,-10.620217517119796
13,RandomForestRegressor,1B,37061.607904878045,37061.607904878045,-9.98784661459215
14,KNeighborsRegressor,1B,37013.86048780488,37013.86048780488,-9.973690690855936
8,LinearRegression,1B,34632.29525775935,34632.29525775935,-9.26761572731012
9,Ridge,1B,34079.108597824015,34079.108597824015,-9.10360961661442
15,MLPRegressor,1B,29812.647194387555,29812.647194387555,-7.838709734009296
12,ElasticNet,1B,29025.90392752847,29025.90392752847,-7.605459887874774
16,LinearRegression,2B,106592.7550606986,106592.7550606986,-57.27061465358444
21,RandomForestRegressor,2B,25264.1815,25264.1815,-12.811064212444876
17,Ridge,2B,24799.880076707435,24799.880076707435,-12.557246499370612
18,Lasso,2B,24300.755611227796,24300.755611227796,-12.284392219775544
19,BayesianRidge,2B,21414.187290314654,21414.187290314654,-10.706404014072518
22,KNeighborsRegressor,2B,20384.06808510638,20384.06808510638,-10.143273065634544
23,MLPRegressor,2B,18125.394081766597,18125.394081766597,-8.90853321486575
20,ElasticNet,2B,16731.257932300294,16731.257932300294,-8.146406649191348
24,LinearRegression,3B,3373310.8901750674,3373310.8901750674,-1143.5838462725667
27,BayesianRidge,3B,34858.840402475646,34858.840402475646,-10.827805655468792
25,Ridge,3B,34753.99172623178,34753.99172623178,-10.79222989472841
26,Lasso,3B,33091.90476430974,33091.90476430974,-10.228274199670167
29,RandomForestRegressor,3B,31969.236372727275,31969.236372727275,-9.847346337530725
30,KNeighborsRegressor,3B,31966.78090909091,31966.78090909091,-9.846513184552895
31,MLPRegressor,3B,30151.476715177145,30151.476715177145,-9.23056999874214
28,ElasticNet,3B,26052.7958747028,26052.7958747028,-7.839863943543554
0,LinearRegression,C,89064.163044281,89064.163044281,-50.905791741992545
3,BayesianRidge,C,15800.847183779495,15800.847183779495,-8.20859137092595
5,RandomForestRegressor,C,15072.374553658537,15072.374553658537,-7.7840440857288655
2,Lasso,C,12489.98056098723,12489.98056098723,-6.279048134520894
1,Ridge,C,12106.737144942548,12106.737144942548,-6.0556973247253225
7,MLPRegressor,C,8309.852288200213,8309.852288200213,-3.842907040664512
4,ElasticNet,C,6517.250600532031,6517.250600532031,-2.7981949286763474
6,KNeighborsRegressor,C,6501.351219512196,6501.351219512196,-2.7889289126735717
54,KNeighborsRegressor,DH,68680.352,68680.352,-31.284311070998797
53,RandomForestRegressor,DH,47294.20466,47294.20466,-21.23140637221721
55,MLPRegressor,DH,44768.974712153584,44768.974712153584,-20.044381163580017
52,ElasticNet,DH,42929.54598236588,42929.54598236588,-19.179727917402737
49,Ridge,DH,41436.929855576935,41436.929855576935,-18.478099548537596
51,BayesianRidge,DH,40791.223001405284,40791.223001405284,-18.174574590762862
48,LinearRegression,DH,40791.22300124692,40791.22300124692,-18.174574590688422
50,Lasso,DH,27369.010342855076,27369.010342855076,-11.865246287819211
41,Ridge,OF,18038.47121171415,18038.47121171415,-6.592989047152236
45,RandomForestRegressor,OF,17731.538012605044,17731.538012605044,-6.463790713674319
42,Lasso,OF,17719.720959170078,17719.720959170078,-6.458816525105442
46,KNeighborsRegressor,OF,17641.805714285714,17641.805714285714,-6.426019421954653
43,BayesianRidge,OF,16539.639511685462,16539.639511685462,-5.962081219749887
47,MLPRegressor,OF,15333.64728729595,15333.64728729595,-5.4544392115516676
44,ElasticNet,OF,14926.30588228656,14926.30588228656,-5.28297574381171
40,LinearRegression,OF,11780.25769107945,11780.25769107945,-3.9587000234759477
34,Lasso,SS,35088.20555223088,35088.20555223088,-11.25954339417081
38,KNeighborsRegressor,SS,35017.628421052636,35017.628421052636,-11.234884298936436
32,LinearRegression,SS,33673.94127000362,33673.94127000362,-10.76541056332593
37,RandomForestRegressor,SS,33580.62109736842,33580.62109736842,-10.73280522805822
39,MLPRegressor,SS,32440.689520922464,32440.689520922464,-10.33452208966797
33,Ridge,SS,31660.003338108218,31660.003338108218,-10.061756469858942
35,BayesianRidge,SS,31240.82159494165,31240.82159494165,-9.9152976615638
36,ElasticNet,SS,28536.889860146202,28536.889860146202,-8.970565153420683
